epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4670.85,2.04577,2.53811,1.75744,0.38186,0.14527,0.09588,0.04977,1.88802,3.94704,1.63348,0.000165786,0.000165786,0.000165786
43,4716.64,2.08634,2.55273,1.79583,0.28215,0.15767,0.10289,0.05478,1.88082,3.93894,1.60666,0.000164757,0.000164757,0.000164757
44,4762.13,2.06292,2.45767,1.73271,0.48351,0.11228,0.10166,0.05066,1.98268,3.92751,1.63483,0.000163727,0.000163727,0.000163727
45,4807.72,2.11154,2.5122,1.79171,0.41034,0.12736,0.10268,0.05323,2.00311,3.89601,1.65792,0.000162698,0.000162698,0.000162698
46,4853.9,2.10225,2.35554,1.71027,0.49314,0.10649,0.10617,0.05448,1.99562,3.88907,1.66342,0.000161668,0.000161668,0.000161668
47,4900.04,1.97223,2.40545,1.72416,0.20699,0.15989,0.10952,0.05477,2.01037,3.87981,1.70141,0.000160638,0.000160638,0.000160638
48,4946.16,2.03526,2.36774,1.7435,0.18938,0.15365,0.10995,0.05504,2.03725,3.89119,1.73614,0.000159609,0.000159609,0.000159609
49,4991.71,2.00062,2.32264,1.69833,0.20374,0.15174,0.10764,0.05508,2.11032,3.8922,1.76641,0.000158579,0.000158579,0.000158579
50,5037.6,2.00625,2.28945,1.6807,0.28337,0.17014,0.10993,0.05742,2.06495,3.90259,1.7442,0.00015755,0.00015755,0.00015755
51,5083.62,2.0305,2.31299,1.70941,0.26346,0.18326,0.11137,0.05587,2.06104,3.91559,1.75787,0.00015652,0.00015652,0.00015652
52,5129.42,1.9742,2.27138,1.68975,0.20699,0.19192,0.11159,0.05748,2.05265,3.86019,1.74058,0.00015549,0.00015549,0.00015549
53,5175.34,2.00727,2.31296,1.71619,0.24567,0.17621,0.11056,0.05858,2.02661,3.85361,1.72051,0.000154461,0.000154461,0.000154461
54,5221.17,2.0378,2.19058,1.67796,0.24435,0.16235,0.11349,0.05978,1.9756,3.8834,1.70763,0.000153431,0.000153431,0.000153431
55,5267.14,1.98312,2.20947,1.69605,0.23206,0.17026,0.11754,0.06095,1.94129,3.87343,1.68207,0.000152402,0.000152402,0.000152402
56,5313.21,1.94683,2.211,1.71221,0.26353,0.1824,0.1213,0.06372,1.93181,3.88161,1.67528,0.000151372,0.000151372,0.000151372
57,5359.27,1.96775,2.20896,1.6679,0.2668,0.1723,0.12146,0.06302,1.98207,3.8821,1.68214,0.000150342,0.000150342,0.000150342
58,5405.21,2.0254,2.19491,1.69172,0.4494,0.15308,0.11642,0.0611,2.0284,3.88942,1.69942,0.000149313,0.000149313,0.000149313
59,5451.33,1.97305,2.13653,1.65525,0.48885,0.15384,0.12964,0.06817,2.00391,3.84974,1.70363,0.000148283,0.000148283,0.000148283
60,5497.29,1.95124,2.16405,1.69391,0.40896,0.17063,0.13537,0.07051,1.9687,3.8253,1.7067,0.000147254,0.000147254,0.000147254
61,5543.11,1.97237,2.10296,1.64523,0.40292,0.16789,0.13315,0.06892,1.98662,3.8523,1.7425,0.000146224,0.000146224,0.000146224
62,5589.01,1.92954,2.07807,1.64938,0.32835,0.16992,0.12336,0.06464,1.9752,3.90457,1.77605,0.000145194,0.000145194,0.000145194
63,5634.91,1.90012,2.0863,1.6331,0.39578,0.16188,0.13438,0.07248,1.90448,3.8433,1.68552,0.000144165,0.000144165,0.000144165
64,5680.97,1.97363,2.06149,1.64884,0.37368,0.16153,0.13283,0.07114,1.90121,3.78467,1.66639,0.000143135,0.000143135,0.000143135
65,5726.79,1.88778,2.05725,1.63601,0.40511,0.16164,0.13296,0.07148,1.91044,3.77473,1.68371,0.000142106,0.000142106,0.000142106
66,5772.63,1.93418,2.04795,1.6654,0.27921,0.18382,0.13151,0.07027,1.95342,3.76034,1.68149,0.000141076,0.000141076,0.000141076
67,5818.56,1.89252,2.05415,1.64308,0.33891,0.20666,0.13566,0.07148,1.96095,3.76189,1.67553,0.000140046,0.000140046,0.000140046
68,5864.46,1.92409,2.00599,1.64843,0.32123,0.19955,0.13629,0.07233,1.96049,3.75066,1.67995,0.000139017,0.000139017,0.000139017
69,5910.28,1.91208,2.04034,1.64073,0.34918,0.19255,0.13741,0.07352,1.98071,3.75689,1.69594,0.000137987,0.000137987,0.000137987
70,5956.37,1.89191,2.01444,1.6105,0.37261,0.17819,0.1365,0.07252,1.98997,3.75603,1.70715,0.000136958,0.000136958,0.000136958
71,6002.21,1.88934,2.0321,1.63621,0.42456,0.17548,0.13749,0.07405,1.95836,3.754,1.71817,0.000135928,0.000135928,0.000135928
72,6048.05,1.91212,1.95553,1.61026,0.41136,0.17036,0.13456,0.07108,1.97014,3.77183,1.72645,0.000134898,0.000134898,0.000134898
73,6093.92,1.88925,2.01301,1.63362,0.38617,0.16717,0.13644,0.07091,1.99046,3.75204,1.72604,0.000133869,0.000133869,0.000133869
74,6139.74,1.85139,1.97294,1.63645,0.4083,0.19204,0.13836,0.07379,1.95194,3.75194,1.70698,0.000132839,0.000132839,0.000132839
75,6185.61,1.89696,1.97271,1.63289,0.402,0.19876,0.1481,0.07968,1.95858,3.75157,1.71227,0.00013181,0.00013181,0.00013181
76,6231.56,1.814,1.94125,1.58999,0.40269,0.19245,0.15326,0.08404,1.94887,3.74744,1.70772,0.00013078,0.00013078,0.00013078
77,6277.53,1.87597,1.94428,1.60697,0.40456,0.19265,0.15291,0.08436,1.91543,3.75533,1.70309,0.00012975,0.00012975,0.00012975
78,6323.53,1.81295,1.95627,1.58562,0.42614,0.18183,0.15418,0.08603,1.89806,3.76741,1.68652,0.000128721,0.000128721,0.000128721
79,6369.58,1.81471,1.9694,1.59335,0.47181,0.17324,0.15253,0.08447,1.93589,3.74376,1.68259,0.000127691,0.000127691,0.000127691
80,6415.49,1.85796,1.91082,1.5919,0.41696,0.1942,0.15274,0.08221,1.94855,3.7301,1.68369,0.000126662,0.000126662,0.000126662
81,6461.68,1.83099,1.90886,1.58528,0.58885,0.16384,0.15416,0.08415,1.92052,3.72901,1.68094,0.000125632,0.000125632,0.000125632
82,6507.61,1.83205,1.90488,1.57149,0.49761,0.18473,0.15009,0.08082,1.9394,3.74653,1.68968,0.000124602,0.000124602,0.000124602
83,6553.64,1.79975,1.91397,1.61259,0.46796,0.1886,0.14728,0.07913,1.96145,3.74171,1.68657,0.000123573,0.000123573,0.000123573
84,6599.62,1.81359,1.87469,1.56639,0.38197,0.19351,0.14449,0.07683,1.99537,3.7497,1.70042,0.000122543,0.000122543,0.000122543
85,6645.24,1.77296,1.90979,1.5528,0.49011,0.15406,0.14498,0.07818,1.98213,3.762,1.70759,0.000121514,0.000121514,0.000121514
86,6691.04,1.7723,1.90025,1.58365,0.5419,0.15968,0.14909,0.0822,1.95467,3.76344,1.70743,0.000120484,0.000120484,0.000120484
87,6736.94,1.77222,1.86116,1.5747,0.51698,0.16992,0.15417,0.08649,1.91079,3.77835,1.67679,0.000119454,0.000119454,0.000119454
88,6783.03,1.8143,1.86163,1.57325,0.48567,0.17444,0.15677,0.08606,1.90541,3.75914,1.67873,0.000118425,0.000118425,0.000118425
89,6828.92,1.83294,1.84019,1.56586,0.44619,0.19852,0.1562,0.08537,1.90988,3.74459,1.686,0.000117395,0.000117395,0.000117395
90,6874.92,1.78449,1.84195,1.5476,0.3521,0.21022,0.15187,0.08354,1.90564,3.72959,1.69515,0.000116366,0.000116366,0.000116366
91,6920.72,1.79014,1.83749,1.54004,0.41803,0.20581,0.15707,0.08915,1.87987,3.71095,1.70053,0.000115336,0.000115336,0.000115336
92,6966.7,1.77707,1.75818,1.52386,0.47271,0.18507,0.15851,0.09004,1.86641,3.71109,1.68522,0.000114306,0.000114306,0.000114306
93,7012.42,1.74321,1.8428,1.54176,0.5254,0.17445,0.15976,0.08956,1.87854,3.71261,1.68659,0.000113277,0.000113277,0.000113277
94,7058.04,1.77749,1.83615,1.59382,0.55359,0.17265,0.15524,0.08526,1.89303,3.73909,1.68433,0.000112247,0.000112247,0.000112247
95,7103.86,1.79294,1.84595,1.56054,0.44413,0.19455,0.15598,0.08509,1.94267,3.70443,1.69423,0.000111218,0.000111218,0.000111218
96,7149.71,1.72481,1.79529,1.51874,0.40737,0.18702,0.15768,0.08426,2.00092,3.67597,1.72415,0.000110188,0.000110188,0.000110188
97,7195.71,1.76945,1.81869,1.54808,0.3813,0.19587,0.16127,0.08536,1.99679,3.65421,1.72194,0.000109158,0.000109158,0.000109158
98,7241.55,1.74149,1.80009,1.52757,0.41218,0.19126,0.1652,0.08844,1.94615,3.63205,1.68115,0.000108129,0.000108129,0.000108129
99,7287.06,1.72826,1.79513,1.51302,0.38018,0.20976,0.1668,0.0917,1.8783,3.65407,1.65997,0.000107099,0.000107099,0.000107099
100,7332.66,1.77339,1.77758,1.5124,0.31013,0.21323,0.16641,0.08986,1.9055,3.66992,1.67649,0.00010607,0.00010607,0.00010607
101,7378.14,1.73681,1.77794,1.52711,0.29359,0.21482,0.16737,0.09002,1.91447,3.67402,1.67812,0.00010504,0.00010504,0.00010504
102,7423.63,1.72384,1.79714,1.51009,0.30445,0.20535,0.16672,0.09058,1.90212,3.68596,1.67051,0.00010401,0.00010401,0.00010401
103,7469.13,1.75511,1.74334,1.51865,0.56521,0.16628,0.16669,0.09372,1.86751,3.70929,1.67136,0.000102981,0.000102981,0.000102981
104,7514.92,1.73701,1.75889,1.48647,0.4705,0.18321,0.16482,0.09243,1.87785,3.71712,1.65448,0.000101951,0.000101951,0.000101951
105,7560.62,1.72712,1.75961,1.52395,0.45145,0.19238,0.16166,0.08985,1.88867,3.71917,1.65668,0.000100922,0.000100922,0.000100922
106,7605.95,1.69347,1.72868,1.51378,0.54644,0.19878,0.16362,0.09068,1.85273,3.73136,1.65468,9.9892e-05,9.9892e-05,9.9892e-05
107,7651.45,1.75451,1.73161,1.54218,0.51244,0.19678,0.16275,0.09061,1.89001,3.68976,1.65911,9.88624e-05,9.88624e-05,9.88624e-05
108,7697,1.68779,1.68862,1.5149,0.4014,0.19651,0.15312,0.08354,1.9577,3.6635,1.68012,9.78328e-05,9.78328e-05,9.78328e-05
109,7742.3,1.72336,1.74649,1.53459,0.37899,0.20444,0.15533,0.08466,1.92396,3.65716,1.66582,9.68032e-05,9.68032e-05,9.68032e-05
110,7787.6,1.70936,1.71996,1.4918,0.41905,0.2033,0.15721,0.08665,1.92166,3.65519,1.65131,9.57736e-05,9.57736e-05,9.57736e-05
111,7833.05,1.73284,1.76622,1.50697,0.44054,0.19707,0.15997,0.0886,1.91366,3.66474,1.64797,9.4744e-05,9.4744e-05,9.4744e-05
112,7878.48,1.68597,1.68054,1.47492,0.4752,0.21813,0.16568,0.09255,1.86232,3.66994,1.63437,9.37144e-05,9.37144e-05,9.37144e-05
113,7923.78,1.69656,1.74745,1.55717,0.47249,0.21207,0.1668,0.09417,1.86116,3.68078,1.64214,9.26848e-05,9.26848e-05,9.26848e-05
