epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
178,10900.1,1.5832,1.56229,1.44683,0.48247,0.20222,0.18312,0.10128,1.88592,3.65253,1.65725,2.57608e-05,2.57608e-05,2.57608e-05
179,10946.1,1.54069,1.53267,1.39618,0.46055,0.20856,0.18365,0.10279,1.8789,3.6508,1.65621,2.47312e-05,2.47312e-05,2.47312e-05
180,10992,1.55644,1.5464,1.41831,0.46266,0.21163,0.18408,0.10355,1.88016,3.65705,1.65946,2.37016e-05,2.37016e-05,2.37016e-05
181,11037.8,1.54947,1.56135,1.40477,0.45307,0.20917,0.18397,0.10293,1.89309,3.65969,1.66301,2.2672e-05,2.2672e-05,2.2672e-05
182,11083.8,1.56717,1.54561,1.4415,0.4466,0.20937,0.18256,0.10097,1.89975,3.66028,1.66348,2.16424e-05,2.16424e-05,2.16424e-05
183,11129.4,1.56318,1.55072,1.42936,0.4461,0.20736,0.18241,0.10104,1.89496,3.65656,1.6633,2.06128e-05,2.06128e-05,2.06128e-05
184,11175.2,1.51024,1.53014,1.40464,0.45938,0.20028,0.18008,0.10085,1.90067,3.66199,1.66849,1.95832e-05,1.95832e-05,1.95832e-05
185,11220.9,1.55756,1.50868,1.38258,0.4051,0.20697,0.18127,0.10211,1.88797,3.65807,1.66868,1.85536e-05,1.85536e-05,1.85536e-05
186,11266.8,1.5817,1.50786,1.41463,0.40536,0.2122,0.18244,0.10292,1.88934,3.65219,1.67561,1.7524e-05,1.7524e-05,1.7524e-05
187,11312.6,1.55628,1.52989,1.43271,0.45011,0.20839,0.18239,0.10276,1.8942,3.65033,1.67585,1.64944e-05,1.64944e-05,1.64944e-05
188,11358.5,1.50453,1.53387,1.41047,0.45043,0.21034,0.18276,0.10241,1.89196,3.64769,1.67782,1.54648e-05,1.54648e-05,1.54648e-05
189,11404.6,1.53917,1.52066,1.41578,0.47471,0.20368,0.18326,0.10304,1.88378,3.64938,1.67392,1.44352e-05,1.44352e-05,1.44352e-05
190,11450.9,1.55499,1.51323,1.41673,0.47564,0.20993,0.18566,0.10474,1.87447,3.65322,1.67305,1.34056e-05,1.34056e-05,1.34056e-05
191,11496,1.60931,1.67373,1.5455,0.49889,0.20675,0.18364,0.10266,1.89359,3.66798,1.67941,1.2376e-05,1.2376e-05,1.2376e-05
192,11541.1,1.61223,1.71231,1.52991,0.52333,0.20252,0.18109,0.10263,1.88803,3.69859,1.66831,1.13464e-05,1.13464e-05,1.13464e-05
193,11586,1.59928,1.6441,1.53393,0.58665,0.18623,0.17935,0.10173,1.87997,3.71472,1.6675,1.03168e-05,1.03168e-05,1.03168e-05
194,11631.1,1.49903,1.55257,1.50488,0.55982,0.19009,0.17713,0.10032,1.87989,3.72754,1.66867,9.2872e-06,9.2872e-06,9.2872e-06
195,11676.3,1.5091,1.51006,1.49499,0.53568,0.18843,0.17238,0.09733,1.89162,3.72695,1.66947,8.2576e-06,8.2576e-06,8.2576e-06
196,11721.3,1.64376,1.61206,1.53065,0.57327,0.18575,0.16937,0.09526,1.90831,3.72905,1.67558,7.228e-06,7.228e-06,7.228e-06
197,11766.7,1.55645,1.53526,1.51061,0.57324,0.1865,0.16731,0.09417,1.92358,3.72657,1.67422,6.1984e-06,6.1984e-06,6.1984e-06
198,11811.9,1.58778,1.57066,1.50358,0.54684,0.18503,0.16464,0.09261,1.94663,3.73262,1.68129,5.1688e-06,5.1688e-06,5.1688e-06
199,11857.1,1.53072,1.50738,1.45502,0.52311,0.183,0.16249,0.08991,1.96718,3.7282,1.69015,4.1392e-06,4.1392e-06,4.1392e-06
200,11902.5,1.49629,1.50938,1.4822,0.52122,0.1769,0.15673,0.08859,1.9838,3.7363,1.69828,3.1096e-06,3.1096e-06,3.1096e-06
